Review_Date,Author,Rating,Review_Title,Review,Review_Url
3-Dec-23,petra_ste,6," An interesting failure
","Ridley Scott directed one of the best movies ever made set during the Napoleonic Wars: unfortunately, that movie is not Napoleon but his cinematic debut, The Duellists, forty years ago.",/review/rw9450470/?ref_=tt_urv
23-Nov-23,imseeg,6," A few words of warning for those with high expectations...
",A word of warning for those expecting another Gladiator or non stop action spectacle. It is not. Truly not...,/review/rw9450470/?ref_=tt_urv
2-Mar-24,Eleatic67,6," Images without Words
","The success of any film depends mostly on the script. Why Scott would initiate such an expensive project without ensuring a refined and sophisticated script is a mystery. I'm not convinced there is a single interesting scene that provides insight into the characters or captures through language the prevailing political ideas. Scott's frequent missteps as a director reflect a greater interest in the cinematic rather than in the dramatic. However, this seems inevitable when your priority is delivering a blockbuster that will have broad appeal instead of digging deeper into culture, society, or history. A colossal waste of an extraordinary opportunity to create an important film about a fascinating historical figure.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,Vic_max,6," Expected an experience ... almost fell asleep
","Many of Ridley Scott's movies are like visual masterpieces with epic storylines. I was sort of expecting something like Gladiator. Instead, it was just ""meh"" - I probably would have quit watching if it was on TV.",/review/rw9450470/?ref_=tt_urv
27-Nov-23,granka-47093,," Stuff just happens...
","Ridley Scott's Napoleon is a high-budget cinematic exercise in ""Whatever, man, that'll do.""
The film, both in terms of what it presents and how it presents, reeks of hollowness. Characters are shadows(not defined enough to even be considered parodies or mockeries of their real-life counterparts as some people like to see them), story is a shadow of a proper story( at times feeling as if written by A. I), atmosphere, with the exception of some of the battle scenes and the Russian segment, sterile and practically non existent(disasterous for Scott who is known to be one of the greatest world builders in history of the artform). Stuff just happens in the film. No significance or weight to anything or anybody... Sure, it's not all bad. The classic Ridley Scott elements are here - battles are engaging, the costumes and set designs very well-done. Something he can't help but always be good at.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,zeki-4,7," Bring on the director's cut!
","Back in 2005 Ridley Scott's 144 minute version of 'Kingdom of Heaven' premiered in theatres to somewhat mixed reviews. A couple of years later the vastly superior 190 minute director's cut version finally arrived, with the general consensus that the final product was a masterclass in storytelling, directing, acting and cinematography. - without doubt the best motion picture ever made about the crusades.",/review/rw9450470/?ref_=tt_urv
3-Jan-24,stefan-huybrechts,6," Excellent trailer - not so the movie
","I will not get in to the historical inaccuracies, as in a lot of historical movies history is adapted for dramatic purposes. It is Hollywood after all and especially for big budget movies the goal is to make a lot of money. Beautiful Trailer.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,dorMancyx,6," Tsk Tsk Tsk
","I feel unsatisfied walking out of that theater after three hours of melancholy and confusion. I understand every single word and every single scene, but when they connect into a whole film I don't understand anything. To start off, the costume/production design, naturalistic sceneries, the two meticulously-depicted ancient warfares --- one amid the doleful squall of Austerlitz and another atop the dampened prairie of Waterloo --- and all other technical stuff are spotless. However, there's an anxiety-inducing problem with the narrative --- the movie has no focus. No climax, no resonating themes like Oppenheimer, just one plain, linear, chronological plot; and even that we get multiple baffling time jumps throughout. The plot is so simple that everything in the film was taught in my AP World History class last year in one day, except it nibbles on some superficial details. Highlighting the relationship between Napolean and Josephine is a unique take, and I do see efforts from the two esteemed performers to capture their mutual toxicity and intricacy, but this love story has barely anything to do with the movie's main arc, Napolean's personal rise and fall. Nothing! Two basically unrelated storylines unfolding in the most bland way possible. Also adding to this insipid mess is the score, which is composed primarily of classical or really old-sounding French folk --- what happened to Radiohead from the trailer? God Ridley I don't wanna say three hours of my life is wasted but it kinda is!",/review/rw9450470/?ref_=tt_urv
8-Mar-24,UrsusProblemus,8," Another reminder to not care about people's opinions ever again
","Yes, the film is somewhat disjointed. It would have been much better off being a mini-series. However, apart from that, I can't really fault the movie, and it's an absolute mystery to me why everyone seems to hate it so much. Granted, I can't really judge its historical accuracy, I'm merely speaking about its merits as a drama. Well, it's beautifully shot and it never gets dull. And it's still way above average. I would definitely rank it higher than Scott's ""Last Duel"", too.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,cagebox111,7," Napoleon the butcher, Napoleon the megalomaniac, Napoleon the lover
",Napoleon was the most significant man of his age and no film can explain his significance in 2.5 hours. Scott decides to focus on three specific aspects of Napoleon's life and personality to show who he thinks Napoleon was at the expense of omitting much of what makes him such a fascinating figure in history.,/review/rw9450470/?ref_=tt_urv
23-Nov-23,epicking,3," Tired of Romanticized and incorrect Historical movies
",Im only focused on the historical aspect here ... and I only mentions a couple of out many here,/review/rw9450470/?ref_=tt_urv
